item_id,condition,cue_word,mass_VERB,mass_BEHAVE,mass_NEG,mass_ADV,mass_OTHER,mass_VerbOnly,mass_VPStart
18,FULL_SCRAMBLED,would,0.04484905662320671,0.16361403216251347,0.011500079493998783,0.010576104061328806,0.05841770876395458,0.04484905662320671,0.21996316827971896
18,CONTENT_SCRAMBLED,would,0.1856563283581636,0.3684176649840083,0.07421547984267818,0.07232730831310619,0.20731219246226829,0.1856563283581636,0.6282894731848501
18,FUNCTION_SCRAMBLED,would,0.010572532497462817,0.0036120255972491577,0.009382769057992846,0.006983321902225725,0.47678632715542335,0.010572532497462817,0.02356732715270482
19,SENTENCE,would,0.17269076243974268,0.44110232486127643,0.07307627348927781,0.10159159871545853,0.17080923154571792,0.17269076243974268,0.6868693607902969
19,JABBERWOCKY,would,0.20151115591579583,0.35922873225354124,0.07014239666750655,0.09326341601263266,0.2145569874883222,0.20151115591579583,0.6308822848368436
19,FULL_SCRAMBLED,would,0.014120467210887,0.002111535024596378,0.017601029365323484,0.006493029039120302,0.3809063643711852,0.014120467210887,0.03383303160080686
19,CONTENT_SCRAMBLED,would,0.13577261974933208,0.47811851551159634,0.09390832963981666,0.06640041548234876,0.1697733453802357,0.13577261974933208,0.7077994649007451
19,FUNCTION_SCRAMBLED,would,0.022421226996812038,0.015953293986967765,0.01608450774801895,0.008248484824434854,0.4549931326910155,0.022421226996812038,0.05445902873179875
20,SENTENCE,would,0.2387058345884725,0.3656558292568661,0.07410828005231451,0.10601826319907559,0.1764984186484071,0.2387058345884725,0.6784699438976531
20,JABBERWOCKY,would,0.21469225516193546,0.26857001300231786,0.06729595617798623,0.12309387376444647,0.2664063174997864,0.21469225516193546,0.5505582243422396
20,FULL_SCRAMBLED,would,0.009028289539855905,0.000572667908272706,0.037974712991854176,0.004582329958793707,0.5443583846499678,0.009028289539855905,0.04757567043998279
20,CONTENT_SCRAMBLED,would,0.27462166038276337,0.3379588278767187,0.07994117585440108,0.06438007167889737,0.2177328944162582,0.27462166038276337,0.6925216641138832
20,FUNCTION_SCRAMBLED,would,0.0070827932067913935,0.0034771284845191985,0.017849000068963505,0.021104996718349867,0.7044466230436228,0.0070827932067913935,0.028408921760274097
21,SENTENCE,must,0.2713965576222108,0.3442445503533236,0.03644738541333936,0.06135363426437834,0.24468919648279552,0.2713965576222108,0.6520884933888738
21,JABBERWOCKY,must,0.15929282310025883,0.5318151705505443,0.036925692613294814,0.047972426531487145,0.16755920221839915,0.15929282310025883,0.7280336862640979
21,FULL_SCRAMBLED,must,0.0,0.0017531431003590114,0.0,0.0,0.07996386611193884,0.0,0.0017531431003590114
21,CONTENT_SCRAMBLED,must,0.17219180127358413,0.5012678087150562,0.042039877796923975,0.05014496674994007,0.15561044281275827,0.17219180127358413,0.7154994877855643
21,FUNCTION_SCRAMBLED,must,0.010374592951848172,0.0017404612444806844,0.016261925527942367,0.008929853138397448,0.5696535333263455,0.010374592951848172,0.028376979724271223
