set_id,cue_family,cue_word,condition,context_k,target_mass,mass_VERB,mass_NOUN,mass_ADJ,mass_NP_START,mass_PARTICIPLE,mass_CLAUSE_START
3,infinitival_to,to,FUNCTION_SCRAMBLED,1,0.06323957566200988,0.06323957566200988,,,,,
3,infinitival_to,to,FUNCTION_SCRAMBLED,2,0.13111906727863243,0.13111906727863243,,,,,
3,infinitival_to,to,FUNCTION_SCRAMBLED,4,0.10955011119222036,0.10955011119222036,,,,,
3,infinitival_to,to,FUNCTION_SCRAMBLED,8,0.10955011119222036,0.10955011119222036,,,,,
3,infinitival_to,to,FUNCTION_SCRAMBLED,full,0.10955011119222036,0.10955011119222036,,,,,
3,infinitival_to,to,CUE_DELETED,1,0.007719871093286201,0.007719871093286201,,,,,
3,infinitival_to,to,CUE_DELETED,2,0.0,0.0,,,,,
3,infinitival_to,to,CUE_DELETED,4,0.0,0.0,,,,,
3,infinitival_to,to,CUE_DELETED,8,0.0,0.0,,,,,
3,infinitival_to,to,CUE_DELETED,full,0.0,0.0,,,,,
4,infinitival_to,to,SENTENCE,1,0.06323957566200988,0.06323957566200988,,,,,
4,infinitival_to,to,SENTENCE,2,0.4008344370377017,0.4008344370377017,,,,,
4,infinitival_to,to,SENTENCE,4,0.34137409868708346,0.34137409868708346,,,,,
4,infinitival_to,to,SENTENCE,8,0.34137409868708346,0.34137409868708346,,,,,
4,infinitival_to,to,SENTENCE,full,0.34137409868708346,0.34137409868708346,,,,,
4,infinitival_to,to,JABBERWOCKY,1,0.06323957566200988,0.06323957566200988,,,,,
4,infinitival_to,to,JABBERWOCKY,2,0.4008344370377017,0.4008344370377017,,,,,
4,infinitival_to,to,JABBERWOCKY,4,0.2867315227340441,0.2867315227340441,,,,,
4,infinitival_to,to,JABBERWOCKY,8,0.2867315227340441,0.2867315227340441,,,,,
4,infinitival_to,to,JABBERWOCKY,full,0.2867315227340441,0.2867315227340441,,,,,
4,infinitival_to,to,FULL_SCRAMBLED,1,0.0046493448098772205,0.0046493448098772205,,,,,
4,infinitival_to,to,FULL_SCRAMBLED,2,0.003691672689456027,0.003691672689456027,,,,,
4,infinitival_to,to,FULL_SCRAMBLED,4,0.013692801752767991,0.013692801752767991,,,,,
4,infinitival_to,to,FULL_SCRAMBLED,8,0.013692801752767991,0.013692801752767991,,,,,
4,infinitival_to,to,FULL_SCRAMBLED,full,0.013692801752767991,0.013692801752767991,,,,,
4,infinitival_to,to,CONTENT_SCRAMBLED,1,0.06323957566200988,0.06323957566200988,,,,,
4,infinitival_to,to,CONTENT_SCRAMBLED,2,0.4008344370377017,0.4008344370377017,,,,,
4,infinitival_to,to,CONTENT_SCRAMBLED,4,0.29678579315077513,0.29678579315077513,,,,,
4,infinitival_to,to,CONTENT_SCRAMBLED,8,0.29678579315077513,0.29678579315077513,,,,,
4,infinitival_to,to,CONTENT_SCRAMBLED,full,0.29678579315077513,0.29678579315077513,,,,,
4,infinitival_to,to,FUNCTION_SCRAMBLED,1,0.05292612907214789,0.05292612907214789,,,,,
4,infinitival_to,to,FUNCTION_SCRAMBLED,2,0.04470701900572749,0.04470701900572749,,,,,
4,infinitival_to,to,FUNCTION_SCRAMBLED,4,0.042701013866462745,0.042701013866462745,,,,,
4,infinitival_to,to,FUNCTION_SCRAMBLED,8,0.042701013866462745,0.042701013866462745,,,,,
4,infinitival_to,to,FUNCTION_SCRAMBLED,full,0.042701013866462745,0.042701013866462745,,,,,
4,infinitival_to,to,CUE_DELETED,1,0.007719871093286201,0.007719871093286201,,,,,
4,infinitival_to,to,CUE_DELETED,2,0.0,0.0,,,,,
4,infinitival_to,to,CUE_DELETED,4,7.13932458893396e-05,7.13932458893396e-05,,,,,
4,infinitival_to,to,CUE_DELETED,8,7.13932458893396e-05,7.13932458893396e-05,,,,,
4,infinitival_to,to,CUE_DELETED,full,7.13932458893396e-05,7.13932458893396e-05,,,,,
5,infinitival_to,to,SENTENCE,1,0.06323957566200988,0.06323957566200988,,,,,
5,infinitival_to,to,SENTENCE,2,0.4416258180863224,0.4416258180863224,,,,,
5,infinitival_to,to,SENTENCE,4,0.40813388077367563,0.40813388077367563,,,,,
5,infinitival_to,to,SENTENCE,8,0.40813388077367563,0.40813388077367563,,,,,
5,infinitival_to,to,SENTENCE,full,0.40813388077367563,0.40813388077367563,,,,,
5,infinitival_to,to,JABBERWOCKY,1,0.06323957566200988,0.06323957566200988,,,,,
5,infinitival_to,to,JABBERWOCKY,2,0.4416258180863224,0.4416258180863224,,,,,
5,infinitival_to,to,JABBERWOCKY,4,0.35434956138487905,0.35434956138487905,,,,,
5,infinitival_to,to,JABBERWOCKY,8,0.35434956138487905,0.35434956138487905,,,,,
5,infinitival_to,to,JABBERWOCKY,full,0.35434956138487905,0.35434956138487905,,,,,
