item_id,condition,cue_word,cue_position,mass_VERB,mass_BEHAVE,mass_NEG,mass_ADV,mass_OTHER,mass_VerbOnly,mass_VPStart
15,CONTENT_SCRAMBLED,may,2,0.06838188331494166,0.5508388376947551,0.07378256885385781,0.07970614953956101,0.20562330920438399,0.06838188331494166,0.6930032898635545
15,FUNCTION_SCRAMBLED,may,4,0.17926142480428098,0.2771139671240235,0.044708731707942206,0.038240495552599896,0.2863691273232689,0.17926142480428098,0.5010841236362467
16,SENTENCE,will,2,0.2993662176813814,0.21079402543182368,0.07921134421485476,0.09832243998243939,0.27727228903677315,0.2993662176813814,0.5893715873280598
16,JABBERWOCKY,will,2,0.2183938504786056,0.33156496103765676,0.07051710654195631,0.09936726697924314,0.23451998066229862,0.2183938504786056,0.6204759180582187
16,FULL_SCRAMBLED,will,1,0.2675474827265134,0.2778965181860258,0.07048292460240191,0.08535838442185195,0.2357236965544871,0.2675474827265134,0.6159269255149411
16,CONTENT_SCRAMBLED,will,2,0.2183938504786056,0.33156496103765676,0.07051710654195631,0.09936726697924314,0.23451998066229862,0.2183938504786056,0.6204759180582187
16,FUNCTION_SCRAMBLED,will,0,0.06376367602206301,0.05457699426187901,0.014700722684210632,0.024032350593188312,0.3902769639826147,0.06376367602206301,0.13304139296815265
17,SENTENCE,can,2,0.3216617927137122,0.08525758609175682,0.030211168545065448,0.1702023618563544,0.270712597452075,0.3216617927137122,0.43713054735053447
17,JABBERWOCKY,can,2,0.18855615686334204,0.13132298800337594,0.015774231498653535,0.06087616799050011,0.23953708521730732,0.18855615686334204,0.3356533763653715
17,FULL_SCRAMBLED,can,5,0.03287423811707413,0.039523318424471654,0.0021900207066209987,0.007394961183308624,0.24533761004568078,0.03287423811707413,0.07458757724816678
17,CONTENT_SCRAMBLED,can,2,0.18855615686334204,0.13132298800337594,0.015774231498653535,0.06087616799050011,0.23953708521730732,0.18855615686334204,0.3356533763653715
17,FUNCTION_SCRAMBLED,can,4,0.17153309033164987,0.10766409022471635,0.008922762863221578,0.023198625225631986,0.3264805823782808,0.17153309033164987,0.2881199434195878
18,SENTENCE,would,2,0.26182089872963843,0.3164332446140179,0.05219966355434735,0.10735444182500942,0.21102721486022347,0.26182089872963843,0.6304538068980037
18,JABBERWOCKY,would,2,0.20117512658544,0.4055175957328174,0.062398285863309866,0.09658751751703676,0.17825063949931064,0.20117512658544,0.6690910081815673
18,FULL_SCRAMBLED,would,2,0.04484858705291117,0.163612837142864,0.011500128348416183,0.010575919182883808,0.058416765177753405,0.04484858705291117,0.21996155254419136
18,CONTENT_SCRAMBLED,would,2,0.1856533114623744,0.3684036241247668,0.07421011708356673,0.07232588093029335,0.20730653882492334,0.1856533114623744,0.6282670526707079
18,FUNCTION_SCRAMBLED,would,4,0.27758313303638715,0.25589591949392343,0.06417536910885246,0.06095337432634551,0.24039297435228946,0.27758313303638715,0.597654421639163
19,SENTENCE,would,2,0.172688050668512,0.4410912071580242,0.07307246961136116,0.10159092148023774,0.17080317643558374,0.172688050668512,0.6868517274378974
19,JABBERWOCKY,would,2,0.2015039231700939,0.35923006181110395,0.07014006528697792,0.09325944568263367,0.2145475968354731,0.2015039231700939,0.6308740502681758
19,FULL_SCRAMBLED,would,4,0.22978523957135621,0.3299475868989248,0.06284446592326276,0.050152152456576005,0.23398583310336107,0.22978523957135621,0.6225772923935438
19,CONTENT_SCRAMBLED,would,2,0.13576802151146694,0.47809950712689897,0.0939089933744981,0.06639862254814943,0.16976814540976193,0.13576802151146694,0.707776522012864
19,FUNCTION_SCRAMBLED,would,4,0.22212687759747496,0.34117973929824075,0.05450807655142853,0.03784385973995086,0.2177288021775894,0.22212687759747496,0.6178146934471442
20,SENTENCE,would,2,0.2386985874400125,0.3656484628809267,0.07410470200920827,0.10601687304733787,0.17649620715383207,0.2386985874400125,0.6784517523301474
20,JABBERWOCKY,would,2,0.2146896631384152,0.2685643168297247,0.06729643144353759,0.12308879428019281,0.26640350938760093,0.2146896631384152,0.5505504114116775
20,FULL_SCRAMBLED,would,0,0.09134636976523325,0.07956435431697173,0.022432812547776848,0.03770724294008687,0.41178219335415633,0.09134636976523325,0.19334353662998183
20,CONTENT_SCRAMBLED,would,2,0.27462038689009205,0.3379485296427447,0.07993969368908438,0.06437922263285145,0.21773311676588492,0.27462038689009205,0.6925086102219211
20,FUNCTION_SCRAMBLED,would,4,0.29956513757861103,0.20115885760606034,0.052170456197927706,0.04071981314336881,0.33463520600344054,0.29956513757861103,0.5528944513825991
21,SENTENCE,must,2,0.27139173853356624,0.34423776751646074,0.03644712390087079,0.06135382619686425,0.24468317766149994,0.27139173853356624,0.6520766299508978
21,JABBERWOCKY,must,2,0.15929206924556638,0.531803542500711,0.036926566157490015,0.04797178493026877,0.1675574880609929,0.15929206924556638,0.7280221779037674
21,FULL_SCRAMBLED,must,3,0.04825452915974893,0.09549995021370705,0.005782616382930428,0.006035836719092913,0.14037954696686938,0.04825452915974893,0.1495370957563864
21,CONTENT_SCRAMBLED,must,2,0.172193657115713,0.5012522540710052,0.04203882106594392,0.05014704076165799,0.15561129376874305,0.172193657115713,0.7154847322526621
21,FUNCTION_SCRAMBLED,must,4,0.2758149766304996,0.2707182061567437,0.020916972462146077,0.017484258154581767,0.30417768481129315,0.2758149766304996,0.5674501552493894
22,SENTENCE,must,2,0.271187965561694,0.2491817161644576,0.05540140894299839,0.05543607512299786,0.32405006856060936,0.271187965561694,0.57577109066915
22,JABBERWOCKY,must,2,0.21147051927255234,0.44848679534334224,0.03405899530480383,0.041605563539633295,0.17206158070985111,0.21147051927255234,0.6940163099206984
22,FULL_SCRAMBLED,must,3,0.0436173933048849,0.12176047464163275,0.0034786228206939995,0.004709978500613943,0.12270104121853365,0.0436173933048849,0.16885649076721165
22,CONTENT_SCRAMBLED,must,2,0.09852382598910481,0.5878693824270158,0.04716707142870291,0.07658354434170178,0.14013940871154773,0.09852382598910481,0.7335602798448235
22,FUNCTION_SCRAMBLED,must,4,0.18672711397812236,0.41215176288824296,0.024126170472300146,0.027831571373098996,0.19092923754215008,0.18672711397812236,0.6230050473386655
23,SENTENCE,might,2,0.20364992845861707,0.3693776664622419,0.11251955209081643,0.09454847684173728,0.17431287943691132,0.20364992845861707,0.6855471470116754
23,JABBERWOCKY,might,2,0.12031628652039217,0.4873375039860548,0.079031217352167,0.0891604235075647,0.17217507793975528,0.12031628652039217,0.686685007858614
23,FULL_SCRAMBLED,might,0,0.07289016160211759,0.06332646474038484,0.018926000528153963,0.03020966074836906,0.4187556792021496,0.07289016160211759,0.15514262687065639
23,CONTENT_SCRAMBLED,might,2,0.12031628652039217,0.4873375039860548,0.079031217352167,0.0891604235075647,0.17217507793975528,0.12031628652039217,0.686685007858614
23,FUNCTION_SCRAMBLED,might,4,0.17169037897110684,0.2608321158622857,0.048686017777072266,0.03579867321241181,0.2602820055690245,0.17169037897110684,0.4812085126104648
24,SENTENCE,can,2,0.23077054992609192,0.08667448721826077,0.02949366400571307,0.11693015610217117,0.27422420154471183,0.23077054992609192,0.34693870115006575
24,JABBERWOCKY,can,2,0.1733803385432111,0.391871854008059,0.016535848895728122,0.10345518680696841,0.19634317170857685,0.1733803385432111,0.5817880414469982
24,FULL_SCRAMBLED,can,6,0.056074646417982876,0.0985629487404367,0.004506457065872382,0.013809339085128158,0.35209047417447437,0.056074646417982876,0.15914405222429195
24,CONTENT_SCRAMBLED,can,2,0.1733803385432111,0.391871854008059,0.016535848895728122,0.10345518680696841,0.19634317170857685,0.1733803385432111,0.5817880414469982
24,FUNCTION_SCRAMBLED,can,0,0.032694786561478395,0.033528898769873194,0.006672608644294087,0.013415800996881444,0.30926170694147004,0.032694786561478395,0.07289629397564568
25,SENTENCE,would,2,0.21710113032531808,0.3611641781681101,0.0899166368326405,0.10228289393853629,0.18423270016137394,0.21710113032531808,0.6681819453260687
25,JABBERWOCKY,would,2,0.18412164907567785,0.41859470579220215,0.07240270063266507,0.08592739700543461,0.18480476152399206,0.18412164907567785,0.6751190555005451
25,FULL_SCRAMBLED,would,3,0.21115725297568133,0.28606654044415336,0.04187666322104633,0.04794563383620698,0.23708161809918238,0.21115725297568133,0.539100456640881
25,CONTENT_SCRAMBLED,would,2,0.22479404852492735,0.34775924470523023,0.08195809357494,0.08474063669564202,0.19991126370587153,0.22479404852492735,0.6545113868050976
25,FUNCTION_SCRAMBLED,would,4,0.2763752238752204,0.265304159882362,0.06285112247860525,0.05031314492225647,0.25830145154031925,0.2763752238752204,0.6045305062361876
26,SENTENCE,could,2,0.20413732663655537,0.257623729576153,0.15262234493275173,0.13342649120022543,0.19440277403919026,0.20413732663655537,0.6143834011454601
26,JABBERWOCKY,could,2,0.14434508156045922,0.3700574405156658,0.1588347729302768,0.1355786738822644,0.13991502454155125,0.14434508156045922,0.6732372950064018
26,FULL_SCRAMBLED,could,2,0.15825655547814677,0.42437579572288087,0.08906220278367982,0.09558108283090405,0.19395965440708096,0.15825655547814677,0.6716945539847075
26,CONTENT_SCRAMBLED,could,2,0.14434508156045922,0.3700574405156658,0.1588347729302768,0.1355786738822644,0.13991502454155125,0.14434508156045922,0.6732372950064018
26,FUNCTION_SCRAMBLED,could,0,0.07864840133697726,0.06974015210289508,0.019945031439419836,0.03552021323412191,0.39546912587684346,0.07864840133697726,0.16833358487929218
27,SENTENCE,may,2,0.12680792757237214,0.43707462971724453,0.10809425212573842,0.09992768384108786,0.18066529489442473,0.12680792757237214,0.6719768094153551
27,JABBERWOCKY,may,2,0.12951310633070534,0.4453490964442608,0.06602172216298641,0.032744695170549676,0.24160513056267519,0.12951310633070534,0.6408839249379525
27,FULL_SCRAMBLED,may,0,0.04247260612464743,0.05112515899236314,0.011473785241832957,0.019462626631138846,0.3222617665451253,0.04247260612464743,0.10507155035884352
